"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","1.520","1.590","1.670","1.520","2.80M","-5.00%"
"09/19/2023","1.600","1.600","1.670","1.515","4.58M","-0.93%"
"09/18/2023","1.615","1.760","1.780","1.590","7.26M","-3.87%"
"09/15/2023","1.680","1.720","1.775","1.660","15.98M","-2.89%"
"09/14/2023","1.730","1.850","1.950","1.720","9.65M","0.00%"
"09/13/2023","1.730","1.760","1.845","1.690","4.16M","-2.26%"
"09/12/2023","1.770","1.770","2.050","1.760","7.24M","3.51%"
"09/11/2023","1.710","1.800","1.850","1.700","3.33M","-5.00%"
"09/08/2023","1.800","1.880","1.940","1.775","2.82M","-2.17%"
"09/07/2023","1.840","1.850","1.900","1.730","3.68M","-0.54%"
"09/06/2023","1.850","1.890","1.950","1.830","4.59M","-2.12%"
"09/05/2023","1.890","1.960","2.010","1.880","3.48M","-4.55%"
"09/01/2023","1.980","2.090","2.145","1.950","4.02M","-5.26%"
"08/31/2023","2.090","2.260","2.340","2.060","5.74M","-8.33%"
"08/30/2023","2.280","2.300","2.310","2.165","5.60M","-0.87%"
"08/29/2023","2.300","1.920","2.350","1.870","9.95M","20.42%"
"08/28/2023","1.910","1.970","2.040","1.880","3.49M","0.79%"
"08/25/2023","1.895","1.880","1.985","1.860","2.66M","0.80%"
"08/24/2023","1.880","2.100","2.109","1.870","4.00M","-9.62%"
"08/23/2023","2.080","1.870","2.120","1.855","7.24M","11.23%"
"08/22/2023","1.870","2.000","2.060","1.830","5.21M","-6.03%"
"08/21/2023","1.990","2.000","2.170","1.970","5.21M","1.02%"
"08/18/2023","1.970","1.850","2.025","1.830","7.30M","-1.50%"
"08/17/2023","2.000","2.030","2.115","1.960","6.43M","-5.21%"
"08/16/2023","2.110","2.160","2.240","2.080","6.57M","-8.66%"
"08/15/2023","2.310","2.500","2.650","2.300","3.86M","-8.15%"
"08/14/2023","2.515","2.450","2.560","2.110","7.87M","-1.37%"
"08/11/2023","2.550","2.460","2.640","2.430","5.33M","1.59%"
"08/10/2023","2.510","2.560","2.770","2.435","6.87M","-2.71%"
"08/09/2023","2.580","2.820","2.880","2.570","6.22M","-6.18%"
"08/08/2023","2.750","2.490","2.765","2.400","7.97M","14.11%"
"08/07/2023","2.410","2.580","2.580","2.220","6.40M","-8.37%"
"08/04/2023","2.630","2.760","2.760","2.600","3.90M","-3.66%"
"08/03/2023","2.730","2.810","2.890","2.710","4.52M","-4.21%"
"08/02/2023","2.850","2.850","3.031","2.740","6.26M","2.52%"
"08/01/2023","2.780","2.830","2.859","2.620","8.20M","-4.79%"
"07/31/2023","2.920","3.460","3.460","2.830","12.15M","-14.62%"
"07/28/2023","3.420","3.450","3.545","3.360","5.84M","2.40%"
"07/27/2023","3.340","3.720","3.770","3.300","6.70M","-8.24%"
"07/26/2023","3.640","3.610","3.740","3.423","7.76M","5.20%"
"07/25/2023","3.460","3.440","3.860","3.420","8.11M","1.47%"
"07/24/2023","3.410","3.410","3.630","3.260","5.19M","-6.58%"
"07/21/2023","3.650","3.500","3.730","3.240","6.03M","6.10%"
"07/20/2023","3.440","3.860","4.040","3.410","7.80M","-8.99%"
"07/19/2023","3.780","3.450","3.865","3.440","8.10M","9.25%"
"07/18/2023","3.460","3.470","3.480","3.140","5.79M","-0.29%"
"07/17/2023","3.470","3.600","3.920","3.330","7.11M","-1.42%"
"07/14/2023","3.520","3.870","3.900","3.390","8.34M","-9.04%"
"07/13/2023","3.870","3.300","3.995","3.282","12.68M","22.08%"
"07/12/2023","3.170","3.540","3.550","3.022","8.44M","-7.04%"
"07/11/2023","3.410","3.245","3.440","3.120","9.99M","8.95%"
"07/10/2023","3.130","2.690","3.180","2.585","8.99M","18.56%"
"07/07/2023","2.640","2.380","2.740","2.360","7.74M","10.46%"
"07/06/2023","2.390","2.310","2.410","2.050","7.51M","9.13%"
"07/05/2023","2.190","1.990","2.280","1.930","6.29M","8.42%"
"07/03/2023","2.020","1.760","2.030","1.720","5.54M","15.43%"
"06/30/2023","1.750","1.820","1.850","1.650","4.38M","1.16%"
"06/29/2023","1.730","1.780","1.878","1.710","3.38M","0.00%"
"06/28/2023","1.730","1.790","1.790","1.685","3.59M","-5.46%"
"06/27/2023","1.830","1.730","1.865","1.690","4.77M","8.28%"
"06/26/2023","1.690","1.830","1.945","1.670","4.17M","-6.11%"
"06/23/2023","1.800","1.590","1.829","1.581","7.27M","9.09%"
"06/22/2023","1.650","1.690","1.740","1.590","3.55M","-2.94%"
"06/21/2023","1.700","1.720","1.790","1.640","5.68M","3.03%"
"06/20/2023","1.650","1.450","1.650","1.440","4.50M","13.01%"
"06/16/2023","1.460","1.340","1.470","1.290","6.12M","10.61%"
