"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2020","3.05","3.03","3.06","2.88","3.94M","1.67%"
"09/17/2020","3.00","2.92","3.06","2.90","2.85M","-1.64%"
"09/16/2020","3.05","3.02","3.28","2.96","6.40M","1.67%"
"09/15/2020","3.00","3.11","3.13","2.95","2.86M","-0.66%"
"09/14/2020","3.02","3.07","3.12","2.87","4.28M","3.78%"
"09/11/2020","2.91","2.87","2.97","2.75","2.95M","3.56%"
"09/10/2020","2.81","3.01","3.20","2.78","4.48M","-4.75%"
"09/09/2020","2.95","2.88","3.09","2.88","3.98M","4.61%"
"09/08/2020","2.82","2.84","3.02","2.63","4.43M","-9.32%"
"09/04/2020","3.11","3.08","3.20","2.54","8.06M","-1.58%"
"09/03/2020","3.16","3.10","3.29","3.06","5.90M","-7.87%"
"09/02/2020","3.43","3.51","3.52","3.30","5.03M","-8.53%"
"09/01/2020","3.75","3.52","3.88","3.42","8.50M","7.14%"
"08/31/2020","3.50","3.66","3.70","3.35","4.59M","-2.51%"
"08/28/2020","3.59","3.23","3.65","3.21","8.67M","9.79%"
"08/27/2020","3.27","3.46","3.50","3.15","4.79M","-4.11%"
"08/26/2020","3.41","3.40","3.56","3.35","3.85M","-4.75%"
"08/25/2020","3.58","3.41","3.60","3.18","7.40M","-1.38%"
"08/24/2020","3.63","3.78","3.79","3.52","4.02M","-2.55%"
"08/21/2020","3.72","3.82","3.94","3.67","5.93M","-6.64%"
"08/20/2020","3.99","3.73","4.05","3.71","7.51M","8.13%"
"08/19/2020","3.69","3.87","4.06","3.63","8.06M","-8.66%"
"08/18/2020","4.04","4.00","4.20","3.91","9.46M","-2.65%"
"08/17/2020","4.15","3.95","4.41","3.77","21.03M","9.79%"
"08/14/2020","3.78","3.67","3.84","3.39","10.69M","4.71%"
"08/13/2020","3.61","3.42","3.75","3.05","11.01M","1.98%"
"08/12/2020","3.54","3.75","3.83","3.50","5.70M","-2.21%"
"08/11/2020","3.62","3.78","4.04","3.54","10.21M","-12.35%"
"08/10/2020","4.13","4.26","4.28","4.00","12.39M","9.55%"
"08/07/2020","3.77","4.12","4.15","3.51","14.75M","-11.29%"
"08/06/2020","4.25","4.36","4.58","4.02","27.23M","5.99%"
"08/05/2020","4.01","4.00","4.45","3.84","39.86M","17.94%"
"08/04/2020","3.40","3.22","3.66","3.04","14.27M","-2.86%"
"08/03/2020","3.50","2.93","4.00","2.75","58.70M","32.58%"
"07/31/2020","2.64","2.60","2.80","2.43","14.56M","3.53%"
"07/30/2020","2.55","2.56","2.65","2.36","10.28M","-7.27%"
"07/29/2020","2.75","2.88","2.91","2.70","15.15M","-0.72%"
"07/28/2020","2.77","2.87","3.19","2.66","43.35M","4.92%"
"07/27/2020","2.64","2.68","3.08","2.48","52.56M","18.92%"
"07/24/2020","2.22","2.25","2.29","2.06","8.57M","-3.06%"
"07/23/2020","2.29","2.40","2.45","2.25","7.57M","-2.14%"
"07/22/2020","2.34","2.28","2.37","2.24","5.38M","1.74%"
"07/21/2020","2.30","2.35","2.36","2.26","3.81M","1.77%"
"07/20/2020","2.26","2.22","2.27","2.15","2.08M","1.35%"
"07/17/2020","2.23","2.25","2.26","2.18","1.60M","0.45%"
"07/16/2020","2.22","2.19","2.22","2.16","1.76M","-1.77%"
"07/15/2020","2.26","2.27","2.28","2.18","1.39M","0.44%"
"07/14/2020","2.25","2.19","2.25","2.09","1.92M","3.21%"
"07/13/2020","2.18","2.35","2.36","2.16","3.64M","-6.44%"
"07/10/2020","2.33","2.30","2.39","2.25","1.77M","-0.43%"
"07/09/2020","2.34","2.58","2.58","2.26","5.07M","-7.87%"
"07/08/2020","2.54","2.36","2.57","2.31","9.04M","10.92%"
"07/07/2020","2.29","2.35","2.38","2.23","2.24M","-3.78%"
"07/06/2020","2.38","2.34","2.49","2.31","4.54M","3.93%"
