"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2020","5.850","6.270","6.270","5.750","701.29K","-7.44%"
"12/07/2020","6.320","6.530","6.690","6.300","390.43K","-0.47%"
"12/04/2020","6.350","7.250","7.330","6.300","1.20M","-14.77%"
"12/03/2020","7.450","7.930","7.930","7.020","1.03M","-4.12%"
"12/02/2020","7.770","7.840","7.950","7.350","445.69K","-2.63%"
"12/01/2020","7.980","7.770","9.050","7.340","2.11M","-1.12%"
"11/30/2020","8.070","7.310","8.120","6.713","2.04M","27.69%"
"11/27/2020","6.320","6.190","6.660","5.890","1.58M","-13.07%"
"11/25/2020","7.270","6.380","8.140","5.780","1.49M","15.21%"
"11/24/2020","6.310","6.650","6.720","6.000","602.32K","2.27%"
"11/23/2020","6.170","6.500","6.860","6.160","991.45K","1.15%"
"11/20/2020","6.100","6.280","6.890","5.910","872.38K","-1.61%"
"11/19/2020","6.200","5.640","6.230","5.210","519.79K","9.93%"
"11/18/2020","5.640","6.000","6.500","5.500","1.03M","-5.53%"
"11/17/2020","5.970","6.150","7.050","5.580","3.63M","10.35%"
"11/16/2020","5.410","4.620","5.470","4.460","860.22K","24.65%"
"11/13/2020","4.340","4.120","4.360","4.100","114.78K","4.33%"
"11/12/2020","4.160","3.800","4.420","3.800","546.92K","9.19%"
"11/11/2020","3.810","4.000","4.150","3.720","395.30K","-1.80%"
"11/10/2020","3.880","3.640","3.990","3.610","119.76K","8.99%"
"11/09/2020","3.560","3.870","3.960","3.400","286.71K","-10.10%"
"11/06/2020","3.960","4.390","4.391","3.870","145.45K","-7.91%"
"11/05/2020","4.300","4.350","4.650","4.135","569.19K","2.14%"
"11/04/2020","4.210","4.080","4.340","3.850","339.78K","7.95%"
"11/03/2020","3.900","3.800","3.980","3.800","13.38K","2.63%"
"11/02/2020","3.800","3.750","3.820","3.610","16.92K","1.33%"
"10/30/2020","3.750","3.860","3.900","3.625","17.12K","-1.06%"
"10/29/2020","3.790","3.650","3.870","3.650","13.45K","5.28%"
"10/28/2020","3.600","3.850","3.918","3.560","58.50K","-8.16%"
"10/27/2020","3.920","4.160","4.190","3.770","48.84K","-2.49%"
"10/26/2020","4.020","3.830","4.080","3.628","83.31K","1.52%"
"10/23/2020","3.960","3.990","4.330","3.585","114.37K","-1.00%"
"10/22/2020","4.000","4.050","4.690","3.980","161.58K","1.14%"
"10/21/2020","3.955","3.985","4.140","3.850","55.70K","3.53%"
"10/20/2020","3.820","4.080","4.080","3.820","13.64K","-6.83%"
"10/19/2020","4.100","3.600","4.200","3.600","37.42K","6.49%"
"10/16/2020","3.850","3.980","3.983","3.850","5.56K","-2.78%"
"10/15/2020","3.960","4.080","4.080","3.960","6.24K","-1.00%"
"10/14/2020","4.000","3.940","4.040","3.940","3.44K","0.00%"
"10/13/2020","4.000","4.000","4.170","3.958","7.58K","0.76%"
"10/12/2020","3.970","4.005","4.150","3.950","45.14K","-1.98%"
"10/09/2020","4.050","3.920","4.093","3.920","60.43K","3.32%"
"10/08/2020","3.920","4.025","4.200","3.900","144.09K","-2.00%"
"10/07/2020","4.000","4.050","4.240","3.955","69.59K","0.25%"
"10/06/2020","3.990","3.580","4.140","3.570","38.80K","3.91%"
"10/05/2020","3.840","3.970","4.270","3.750","54.23K","-4.95%"
"10/02/2020","4.040","3.840","4.300","3.840","15.44K","0.50%"
"10/01/2020","4.020","4.110","4.150","3.990","17.28K","-2.19%"
"09/30/2020","4.110","4.460","4.460","4.000","26.77K","0.98%"
"09/29/2020","4.070","4.110","4.140","4.010","20.17K","-0.97%"
"09/28/2020","4.110","4.140","4.260","4.040","27.31K","-1.91%"
"09/25/2020","4.190","3.940","4.240","3.940","40.16K","6.89%"
"09/24/2020","3.920","3.750","3.920","3.675","27.41K","1.82%"
"09/23/2020","3.850","3.880","4.033","3.500","57.60K","-3.02%"
"09/22/2020","3.970","4.278","4.280","3.860","45.19K","-6.81%"
"09/21/2020","4.260","4.340","4.450","4.200","17.95K","-4.27%"
"09/18/2020","4.450","4.340","4.510","4.146","82.37K","4.95%"
"09/17/2020","4.240","4.160","4.380","4.160","44.33K","2.66%"
"09/16/2020","4.130","4.310","4.590","4.040","132.57K","-6.77%"
"09/15/2020","4.430","4.600","4.600","4.400","64.03K","-3.49%"
"09/14/2020","4.590","4.460","4.730","4.410","39.62K","0.22%"
"09/11/2020","4.580","4.120","4.580","4.120","29.84K","3.85%"
"09/10/2020","4.410","4.500","4.640","4.275","24.20K","-4.34%"
"09/09/2020","4.610","4.500","4.640","4.310","59.86K","6.96%"
"09/08/2020","4.310","4.500","4.650","4.310","40.73K","-6.41%"
"09/04/2020","4.605","4.420","4.690","4.410","31.37K","2.11%"
"09/03/2020","4.510","4.590","4.600","4.050","48.93K","-3.63%"
"09/02/2020","4.680","4.700","4.880","4.550","71.36K","-4.88%"
"09/01/2020","4.920","4.820","5.080","4.820","137.24K","-1.01%"
"08/31/2020","4.970","5.000","5.100","4.900","93.67K","1.64%"
"08/28/2020","4.890","4.670","4.910","4.670","68.14K","3.01%"
"08/27/2020","4.747","4.780","4.925","4.680","90.52K","3.20%"
"08/26/2020","4.600","4.640","4.870","4.535","46.19K","0.88%"
"08/25/2020","4.560","4.450","4.720","4.220","107.52K","1.33%"
"08/24/2020","4.500","4.210","4.720","4.200","116.64K","7.91%"
"08/21/2020","4.170","3.970","4.170","3.970","17.80K","3.99%"
"08/20/2020","4.010","4.140","4.140","3.880","66.68K","4.97%"
"08/19/2020","3.820","3.680","3.960","3.680","28.79K","2.14%"
"08/18/2020","3.740","3.920","4.160","3.505","130.82K","-7.65%"
"08/17/2020","4.050","4.070","4.240","3.950","66.15K","-1.22%"
"08/14/2020","4.100","4.010","4.370","4.000","59.96K","0.00%"
"08/13/2020","4.100","4.360","4.610","3.890","183.45K","-5.96%"
"08/12/2020","4.360","4.360","4.670","4.350","84.45K","0.00%"
"08/11/2020","4.360","4.500","4.840","4.100","184.29K","-7.23%"
"08/10/2020","4.700","4.940","5.040","4.400","279.60K","-5.62%"
"08/07/2020","4.980","5.010","5.500","4.510","215.95K","1.63%"
"08/06/2020","4.900","4.360","5.450","3.800","593.66K","14.22%"
"08/05/2020","4.290","3.360","4.470","3.320","444.25K","26.55%"
"08/04/2020","3.390","3.130","3.550","3.130","144.30K","9.00%"
"08/03/2020","3.110","3.130","3.670","3.100","337.83K","0.65%"
"07/31/2020","3.090","2.960","3.150","2.960","75.91K","4.75%"
"07/30/2020","2.950","2.940","3.200","2.826","171.53K","-5.75%"
"07/29/2020","3.130","2.710","3.290","2.470","625.36K","10.60%"
"07/28/2020","2.830","1.920","3.240","1.920","1.77M","47.40%"
"07/27/2020","1.920","1.980","2.010","1.910","133.44K","0.52%"
"07/24/2020","1.910","1.880","2.000","1.880","83.07K","0.00%"
"07/23/2020","1.910","1.870","2.100","1.870","130.27K","1.06%"
"07/22/2020","1.890","1.980","1.980","1.860","33.87K","-5.50%"
"07/21/2020","2.000","1.910","2.030","1.880","57.65K","6.95%"
"07/20/2020","1.870","1.930","2.005","1.850","82.97K","-3.61%"
"07/17/2020","1.940","1.950","2.050","1.910","28.47K","-0.51%"
"07/16/2020","1.950","1.970","1.990","1.810","83.78K","-2.01%"
"07/15/2020","1.990","1.990","2.260","1.760","808.51K","13.07%"
"07/14/2020","1.760","1.750","1.790","1.700","118.60K","1.15%"
"07/13/2020","1.740","1.800","2.000","1.624","385.75K","-4.40%"
"07/10/2020","1.820","1.970","2.246","1.780","1.17M","-24.32%"
"07/09/2020","2.405","1.500","2.480","1.500","1.88M","60.33%"
"07/08/2020","1.500","1.290","1.530","1.290","283.36K","16.28%"
"07/07/2020","1.290","1.310","1.360","1.270","208.16K","-1.53%"
"07/06/2020","1.310","1.330","1.350","1.210","91.21K","-1.50%"
"07/02/2020","1.330","1.300","1.350","1.260","71.55K","2.31%"
"07/01/2020","1.300","1.300","1.360","1.270","80.75K","0.78%"
"06/30/2020","1.290","1.270","1.480","1.260","216.93K","0.78%"
"06/29/2020","1.280","1.260","1.530","1.210","123.59K","4.07%"
