"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2022","7.22","6.94","7.79","6.89","16.39M","9.23%"
"06/17/2022","6.61","6.46","6.84","6.44","10.25M","0.61%"
"06/16/2022","6.57","6.73","6.82","6.27","12.25M","-4.37%"
"06/15/2022","6.87","6.71","7.17","6.55","18.15M","-1.01%"
"06/14/2022","6.94","6.54","7.07","6.41","10.70M","4.36%"
"06/13/2022","6.65","6.15","7.00","6.12","18.79M","-11.80%"
"06/10/2022","7.54","7.35","7.69","7.24","10.52M","-1.57%"
"06/09/2022","7.66","8.40","8.44","7.65","13.90M","-10.20%"
"06/08/2022","8.53","8.64","9.14","8.39","11.22M","-1.84%"
"06/07/2022","8.69","8.65","8.88","8.32","10.77M","-2.69%"
"06/06/2022","8.93","9.23","9.26","8.70","10.20M","1.48%"
"06/03/2022","8.80","9.07","9.11","8.40","11.02M","-5.78%"
"06/02/2022","9.34","9.14","9.60","9.10","11.64M","1.30%"
"06/01/2022","9.22","10.30","10.35","9.11","14.99M","-9.87%"
"05/31/2022","10.23","11.04","11.17","10.02","19.50M","-0.39%"
"05/27/2022","10.27","9.97","10.48","9.81","13.97M","4.26%"
"05/26/2022","9.85","8.81","9.96","8.53","15.65M","6.26%"
"05/25/2022","9.27","8.89","9.44","8.84","6.87M","3.00%"
"05/24/2022","9.00","9.61","9.80","8.74","11.22M","-9.37%"
"05/23/2022","9.93","9.88","10.26","9.52","9.39M","1.64%"
"05/20/2022","9.77","10.65","10.70","9.21","12.38M","-5.60%"
"05/19/2022","10.35","10.19","10.93","10.12","10.24M","1.87%"
"05/18/2022","10.16","10.61","10.99","9.93","9.93M","-8.39%"
"05/17/2022","11.09","10.78","11.26","10.51","10.90M","7.46%"
"05/16/2022","10.32","11.18","11.20","10.13","11.02M","-9.39%"
"05/13/2022","11.39","11.17","12.00","10.92","15.33M","12.22%"
"05/12/2022","10.15","9.49","10.60","8.80","20.89M","1.70%"
"05/11/2022","9.98","11.00","12.17","9.91","17.83M","-15.42%"
"05/10/2022","11.80","12.86","13.19","11.54","12.88M","-2.32%"
"05/09/2022","12.08","13.94","14.03","11.77","15.82M","-19.20%"
"05/06/2022","14.95","15.47","15.81","14.45","8.42M","-5.97%"
"05/05/2022","15.90","17.27","17.40","15.53","9.30M","-10.47%"
"05/04/2022","17.76","16.88","17.83","15.61","11.81M","5.84%"
