"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2023","2.450","2.530","2.600","2.399","1.10M","2.51%"
"05/26/2023","2.390","2.290","2.400","2.250","603.66K","3.91%"
"05/25/2023","2.300","2.320","2.360","2.220","530.07K","0.44%"
"05/24/2023","2.290","2.420","2.440","2.210","647.86K","-6.53%"
"05/23/2023","2.450","2.480","2.620","2.380","1.04M","-1.61%"
"05/22/2023","2.490","2.480","2.510","2.360","511.02K","-1.58%"
"05/19/2023","2.530","2.440","2.550","2.335","834.88K","6.30%"
"05/18/2023","2.380","2.420","2.505","2.345","549.25K","-3.64%"
"05/17/2023","2.470","2.400","2.550","2.390","880.69K","1.23%"
"05/16/2023","2.440","2.400","2.450","2.300","865.72K","1.24%"
"05/15/2023","2.410","2.090","2.450","2.050","1.52M","14.76%"
"05/12/2023","2.100","1.980","2.120","1.870","1.37M","4.48%"
"05/11/2023","2.010","2.160","2.169","1.970","789.96K","-8.22%"
"05/10/2023","2.190","2.080","2.300","2.000","1.34M","9.50%"
"05/09/2023","2.000","1.980","2.100","1.760","1.55M","2.56%"
"05/08/2023","1.950","2.160","2.210","1.910","1.25M","-11.76%"
"05/05/2023","2.210","2.380","2.420","2.200","1.03M","-7.14%"
"05/04/2023","2.380","2.420","2.490","2.260","755.38K","-0.83%"
"05/03/2023","2.400","2.160","2.415","2.125","849.98K","6.19%"
"05/02/2023","2.260","2.090","2.300","2.077","635.90K","7.62%"
"05/01/2023","2.100","2.250","2.280","2.075","871.16K","-9.09%"
"04/28/2023","2.310","2.290","2.359","2.215","658.62K","-1.28%"
"04/27/2023","2.340","2.270","2.340","2.200","761.80K","2.18%"
"04/26/2023","2.290","2.470","2.550","2.260","1.86M","4.09%"
"04/25/2023","2.200","2.070","2.257","2.030","1.45M","5.77%"
"04/24/2023","2.080","2.270","2.270","2.040","987.11K","-7.96%"
"04/21/2023","2.260","2.440","2.520","2.135","1.59M","-3.42%"
"04/20/2023","2.340","2.450","2.500","2.250","869.98K","-4.49%"
"04/19/2023","2.450","2.590","2.600","2.420","1.50M","-11.87%"
"04/18/2023","2.780","2.760","2.940","2.700","1.26M","3.35%"
"04/17/2023","2.690","2.520","2.767","2.430","1.59M","-7.56%"
"04/14/2023","2.910","2.827","3.320","2.730","3.29M","9.81%"
"04/13/2023","2.650","2.470","2.840","2.445","2.56M","12.29%"
"04/12/2023","2.360","2.670","2.727","2.320","2.05M","-8.17%"
"04/11/2023","2.570","2.680","2.820","2.460","2.98M","1.18%"
"04/10/2023","2.540","2.330","2.640","2.240","2.02M","9.01%"
"04/06/2023","2.330","2.190","2.373","2.120","550.11K","4.02%"
"04/05/2023","2.240","2.310","2.360","2.175","488.93K","-3.45%"
"04/04/2023","2.320","2.400","2.440","2.170","944.50K","-3.33%"
"04/03/2023","2.400","2.330","2.470","2.238","1.25M","3.00%"
"03/31/2023","2.330","2.140","2.350","2.130","1.60M","11.48%"
"03/30/2023","2.090","2.270","2.370","2.050","1.61M","-5.00%"
"03/29/2023","2.200","1.990","2.245","1.990","1.20M","15.79%"
"03/28/2023","1.900","1.830","1.910","1.760","712.76K","0.53%"
"03/27/2023","1.890","2.110","2.146","1.815","1.33M","-11.68%"
"03/24/2023","2.140","2.270","2.280","2.100","774.12K","-8.55%"
"03/23/2023","2.340","2.060","2.370","2.040","2.21M","14.15%"
"03/22/2023","2.050","2.400","2.460","1.960","2.91M","-18.00%"
"03/21/2023","2.500","2.150","2.500","2.090","1.91M","17.37%"
"03/20/2023","2.130","2.330","2.330","2.020","2.32M","-8.19%"
"03/17/2023","2.320","2.150","2.350","1.900","4.70M","18.37%"
"03/16/2023","1.960","1.800","2.060","1.760","1.78M","7.10%"
"03/15/2023","1.830","1.740","1.940","1.690","2.19M","8.93%"
"03/14/2023","1.680","2.050","2.600","1.565","8.20M","-7.69%"
"03/13/2023","1.820","1.420","1.850","1.400","2.50M","37.88%"
"03/10/2023","1.320","1.410","1.415","1.260","1.60M","-7.04%"
"03/09/2023","1.420","1.490","1.500","1.380","850.61K","-5.33%"
"03/08/2023","1.500","1.490","1.540","1.410","459.84K","0.67%"
"03/07/2023","1.490","1.560","1.600","1.482","709.39K","-5.70%"
"03/06/2023","1.580","1.610","1.633","1.520","553.14K","-1.86%"
"03/03/2023","1.610","1.550","1.645","1.520","550.65K","1.26%"
"03/02/2023","1.590","1.430","1.620","1.390","1.21M","8.90%"
"03/01/2023","1.460","1.600","1.670","1.425","576.63K","-3.95%"
"02/28/2023","1.520","1.480","1.600","1.430","748.88K","4.11%"
"02/27/2023","1.460","1.520","1.590","1.440","699.38K","-3.31%"
"02/24/2023","1.510","1.600","1.630","1.500","555.71K","-7.93%"
"02/23/2023","1.640","1.800","1.860","1.530","1.01M","-5.20%"
"02/22/2023","1.730","1.720","1.770","1.610","644.89K","-0.57%"
"02/21/2023","1.740","1.900","1.950","1.650","1.24M","-8.42%"
"02/17/2023","1.900","1.860","1.930","1.700","1.14M","0.53%"
"02/16/2023","1.890","1.783","2.070","1.650","3.18M","3.28%"
"02/15/2023","1.830","1.620","1.900","1.539","1.92M","20.79%"
"02/14/2023","1.515","1.390","1.630","1.390","1.01M","8.99%"
"02/13/2023","1.390","1.480","1.480","1.355","661.26K","-7.95%"
"02/10/2023","1.510","1.480","1.590","1.420","833.45K","-0.33%"
"02/09/2023","1.515","1.700","1.710","1.440","1.64M","-9.55%"
"02/08/2023","1.675","1.710","1.900","1.630","907.88K","-1.47%"
"02/07/2023","1.700","1.950","1.970","1.630","1.89M","-6.59%"
"02/06/2023","1.820","1.800","2.143","1.790","1.69M","-1.09%"
"02/03/2023","1.840","2.060","2.080","1.800","2.11M","-8.00%"
"02/02/2023","2.000","1.500","2.900","1.470","8.40M","44.93%"
"02/01/2023","1.380","1.200","1.460","1.200","1.29M","15.00%"
"01/31/2023","1.200","1.240","1.370","1.180","876.80K","-1.64%"
"01/30/2023","1.220","1.480","1.520","1.210","1.37M","-17.01%"
"01/27/2023","1.470","1.260","1.600","1.240","1.30M","16.67%"
"01/26/2023","1.260","1.180","1.289","1.180","781.19K","11.50%"
"01/25/2023","1.130","1.080","1.150","1.030","552.51K","4.63%"
"01/24/2023","1.080","1.110","1.190","1.030","555.75K","-6.09%"
"01/23/2023","1.150","1.180","1.290","1.120","917.89K","4.55%"
"01/20/2023","1.100","1.000","1.150","0.970","681.37K","16.02%"
"01/19/2023","0.948","1.010","1.050","0.920","563.29K","-6.59%"
"01/18/2023","1.015","1.190","1.240","1.000","716.30K","-9.38%"
"01/17/2023","1.120","1.240","1.370","1.040","1.11M","0.90%"
"01/13/2023","1.110","1.050","1.295","1.050","1.17M","5.71%"
"01/12/2023","1.050","1.010","1.250","1.000","1.20M","5.42%"
"01/11/2023","0.996","0.990","1.077","0.950","977.80K","5.65%"
"01/10/2023","0.943","0.900","0.979","0.851","518.20K","2.55%"
"01/09/2023","0.919","0.860","0.995","0.841","821.62K","19.44%"
"01/06/2023","0.770","0.837","0.837","0.750","235.33K","-4.06%"
"01/05/2023","0.802","0.670","0.830","0.640","610.17K","23.18%"
"01/04/2023","0.651","0.702","0.780","0.638","948.29K","1.81%"
"01/03/2023","0.640","0.577","0.680","0.577","825.99K","14.23%"
"12/30/2022","0.560","0.450","0.600","0.449","3.96M","24.78%"
"12/29/2022","0.449","0.411","0.530","0.382","5.22M","8.88%"
"12/28/2022","0.412","0.501","0.525","0.389","4.39M","-18.81%"
"12/27/2022","0.508","0.540","0.550","0.491","749.96K","-5.98%"
"12/23/2022","0.540","0.550","0.594","0.510","1.50M","-1.64%"
"12/22/2022","0.549","0.600","0.618","0.534","326.55K","-8.42%"
"12/21/2022","0.600","0.599","0.650","0.571","208.81K","-0.08%"
"12/20/2022","0.600","0.620","0.650","0.570","378.55K","-3.85%"
"12/19/2022","0.624","0.600","0.628","0.573","508.52K","4.00%"
"12/16/2022","0.600","0.660","0.725","0.600","1.88M","-13.41%"
"12/15/2022","0.693","0.680","0.709","0.610","995.87K","1.90%"
"12/14/2022","0.680","0.704","0.740","0.674","157.41K","-5.56%"
"12/13/2022","0.720","0.778","0.800","0.712","308.87K","-2.05%"
"12/12/2022","0.735","0.760","0.810","0.730","759.54K","-5.76%"
"12/09/2022","0.780","0.786","0.849","0.754","189.35K","-3.70%"
"12/08/2022","0.810","0.770","0.890","0.770","149.24K","4.17%"
"12/07/2022","0.778","0.890","0.910","0.770","324.53K","-12.63%"
"12/06/2022","0.890","0.930","0.952","0.876","563.55K","-6.22%"
"12/05/2022","0.949","0.945","1.010","0.870","467.75K","-0.11%"
"12/02/2022","0.950","0.810","1.040","0.800","374.91K","14.65%"
"12/01/2022","0.829","0.823","0.877","0.783","328.29K","6.01%"
"11/30/2022","0.782","0.952","0.980","0.782","1.05M","-12.05%"
"11/29/2022","0.889","0.872","0.950","0.872","195.57K","1.02%"
